term,coef,std_err,t_value,p_value,abs_coef
Public_Safety_Per_Capita,236.16603028776632,23.07037902595117,10.236764208429793,1.3569905529564646e-24,236.16603028776632
crime_events_per_capita,-7.398379293711283,0.5618635374488818,-13.167573263969608,1.3486317793662135e-39,7.398379293711283
Intercept,5.934841645693827,0.03430419412482991,173.00629841638215,0.0,5.934841645693827
property_crime_per_capita,5.683508565903241,0.6862364026419758,8.282143797708803,1.2097738420276218e-16,5.683508565903241
violent_crime_per_capita,4.122408824316408,0.6873080053436205,5.997906022141274,1.9987813182827603e-09,4.122408824316408
part1_events_per_capita,3.4486519638613014,0.3158117864646048,10.9199596457994,9.25369129453015e-28,3.4486519638613014
C(room_type)[T.Shared room],-1.8283571616719676,0.025752771080329806,-70.99652134400725,0.0,1.8283571616719676
C(room_type)[T.Private room],-0.981378463649751,0.005611776045068573,-174.87840850529864,0.0,0.981378463649751
crime_index,-0.30210001433447436,0.03720876859309707,-8.119054345445864,4.698301115436392e-16,0.30210001433447436
amenities_index,0.2296816296180028,0.026278444777493297,8.74030527920428,2.3248135398681975e-18,0.2296816296180028
C(room_type)[T.Hotel room],0.21795574836896592,0.030045493885234947,7.254190901354244,4.040698898807042e-13,0.21795574836896592
Count_Fire_Stations,-0.11287654389522521,0.009197381233052337,-12.272682955620493,1.269749862576458e-34,0.11287654389522521
Count_Police_Stations,-0.1128765438840354,0.009197381233106866,-12.272682954331101,1.2697498828010454e-34,0.1128765438840354
education_index,-0.09278608807861848,0.009152472570222572,-10.137816569972204,3.7539623682496176e-24,0.09278608807861848
reviews_per_month,-0.04633961048199817,0.004718023018608779,-9.821827977359574,9.068400143170686e-23,0.04633961048199817
Crime_Per_Capita,0.04593400824479375,0.008181737751323213,5.614211753165145,1.9746028713810116e-08,0.04593400824479375
C(month)[T.September],-0.035150551444439106,0.004997400713476843,-7.033766843960729,2.010309499242314e-12,0.035150551444439106
Count_Public_Safety,0.03393882267377765,0.004945212062535367,6.862966086105015,6.744524310915444e-12,0.03393882267377765
Count_Corrective_Facility,-0.028650169319706906,0.005966472873348137,-4.801860316450181,1.571983381274628e-06,0.028650169319706906
Count_Education_Facility,-0.007055167998860018,0.0016550089333998736,-4.262918378553181,2.017742352975015e-05,0.007055167998860018
minimum_nights,-0.002994644446064323,0.0002359953250300979,-12.689422748871817,6.768277917211411e-37,0.002994644446064323
Education_Per_Capita,0.0020113939378815396,1.2191592443264847e-05,164.98205195439576,0.0,0.0020113939378815396
number_of_reviews_ltm,0.0013920185420465997,0.00046993424374092775,2.9621560049878215,0.003054929560944311,0.0013920185420465997
number_of_reviews,-0.00047968155455833266,4.441077638159107e-05,-10.801017087311443,3.404116322447694e-27,0.00047968155455833266
availability_365,0.0002943492123290152,2.3628568320221746e-05,12.457344361279223,1.2754754693710366e-35,0.0002943492123290152
calculated_host_listings_count,-0.00021018120916251973,2.0084301522651007e-05,-10.464949897584344,1.2514272394301799e-25,0.00021018120916251973
Population,-9.757272533783621e-06,4.214849874530661e-07,-23.14975105695818,1.4621694217431286e-118,9.757272533783621e-06
