feature,importance_mean,importance_std
Getty_Center_Median_Distance_June_(KM),0.2053356078168286,0.01652228782284005
log_population,0.18330926582980064,0.02160469755982014
Aquarium_of_the_Pacific_Median_Distance_June_(KM),0.12571341313845258,0.009446893308729899
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),0.07222423740403483,0.0052541816524040085
crime_per_10k,0.06914002028850623,0.0063899606785202635
Count_Educational_Facility,0.06363047094563344,0.005568003938933017
LAX_Median_Distance_June_(KM),0.06110822219519809,0.005350878106704234
Crypto_Arena_Median_Distance_June_(KM),0.05470421404910049,0.0050596821631584115
log_part_1_crime_count,0.05441979326472549,0.005643701923288348
Venice_Beach_Median_Distance_June_(KM),0.05331852190635824,0.005411566728796889
Griffith_Park_Median_Distance_June_(KM),0.04073194691837114,0.002566587504010024
California_Science_Center_Median_Distance_June_(KM),0.02460012142243252,0.002811820523180296
Santa_Monica_Pier_Median_Distance_June_(KM),0.024532595365134434,0.0030971242418804095
La_Brea_Median_Distance_June_(KM),0.018414480304618397,0.001995095474442283
Count_Public_Safety,0.018232725455769427,0.002602735478997302
TCL_Chinese_Theater_Median_Distance_June_(KM),0.016106005339537786,0.001947968415193346
Count_Fire_Stations,0.015868998378757694,0.003345238454800559
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),0.013640997702138169,0.001532463038213624
Queen_Mary_Median_Distance_June_(KM),0.009740676600694631,0.0011974108345665648
Universal_Studios_Hollywood_Median_Distance_June_(KM),0.007535564588795484,0.000620606822313736
Hollywood_Sign_Median_Distance_June_(KM),0.002647629316294875,0.0006463403616914384
Griffith_Observatory_Median_Distance_June_(KM),0.002162423511567357,0.0003711309194528914
Count_Corrective_Facility,0.000806936283002957,0.00020567901134897426
Madame_Tussauds_Median_Distance_June_(KM),0.0003179301526455958,8.19530865058392e-05
