term,coef,std_err,z_value,p_value,pct_effect_if_log_model
Intercept,5.566813091970812,0.013434046962183704,414.38094623616877,0.0,26059.90771782679
C(room_type)[T.Hotel room],0.2814949557457408,0.030107476452269605,9.349669547761806,8.792198769038667e-21,32.51093121163717
C(room_type)[T.Private room],-1.064606667438534,0.006148021833991713,-173.16247342396292,0.0,-65.51365258726489
C(room_type)[T.Shared room],-1.8751531955777476,0.026472436488899805,-70.8341748733261,0.0,-84.66685246583748
C(month)[T.September],-0.038233654267639625,0.005472537058729292,-6.986458722404225,2.819112946057397e-12,-3.7511974818670635
minimum_nights,-0.003347490117521854,0.00026806103319058303,-12.487790850010986,8.703694343518103e-36,-0.33418935190727694
number_of_reviews,-0.0003992844732575077,4.8013702650800976e-05,-8.31605252695184,9.094152861857603e-17,-0.03992047698206935
reviews_per_month,-0.04930412089234742,0.005085143258355729,-9.695719154289826,3.144147654029774e-22,-4.810840444741249
calculated_host_listings_count,-0.00010140975213575741,2.2842968520171532e-05,-4.439429667217171,9.019758442108194e-06,-0.010140461034069403
availability_365,0.000272756891262282,2.5798353413370295e-05,10.572647288447587,3.9906782309393924e-26,0.02727940928053396
number_of_reviews_ltm,0.0015478701064633408,0.0005320723167016289,2.909134825992728,0.0036243052088958355,0.15490686757266836
crime_events_per_capita,-0.41724335012419744,0.019671206997736067,-21.210866733913043,7.580354896164145e-100,-34.113943336680606
Education_Per_Capita,-149.7253227301635,23.512990505871514,-6.36777030521809,1.9179584960114738e-10,-100.0
Public_Safety_Per_Capita,82.30114034951134,4.376351232109441,18.805880968982798,6.758993544000732e-79,5.532623385955319e+37
amenities_index,-0.04523514548156139,0.0033896994258742373,-13.344883955277185,1.2686798239883256e-40,-4.422729022703431
